10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1000550016,80,WEST STREET,"4 20,322",15,D
1000557501,40,RECTOR STREET,"4 49,355",69,C
1000560001,140,WASHINGTON STREET,"1 81,297","missing required benchmarkinginformation",F
1000560004,90,WEST STREET,"3 57,001",69,C
1000627501,1,LIBERTY PLAZA,"2 ,139,035",76,B
1000630003,22,CORTLANDT STREET,"6 47,875",72,B
1000630006,21,DEY STREET,"4 9,109",26,D
1000640001,51,NASSAU STREET,"4 2,012",42,D
1000640008,53,LIBERTY STREET,"1 67,448",54,D
1000640009,59,LIBERTY STREET,"3 0,681",36,D
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1000640012,150,BROADWAY,"2 79,669",92,A
1000640015,160,BROADWAY,"1 50,000",87,A
1000647502,170,BROADWAY,"1 67,280",10,D
1000650006,21,MAIDEN LANE,"3 7,800",28,D
1000650007,15,MAIDEN LANE,"1 24,910",88,A
1000650010,9,MAIDEN LANE,"5 8,354",2,D
1000650017,176,BROADWAY,"1 68,176",53,D
1000650020,12,JOHN STREET,"3 1,118","missing required benchmarkinginformation",F
1000650024,24,JOHN STREET,"5 0,616",22,D
1000657501,65,NASSAU STREET,"3 2,342",33,D
1000657502,180,BROADWAY,"1 49,223",85,A
1000670001,59,MAIDEN LANE,"1 ,073,000",64,C
1000670023,56,NASSAU STREET,"5 58,327",80,B
1000680007,83,MAIDEN LANE,"1 55,450",54,D
1000680011,75,MAIDEN LANE,"1 55,026",59,C
1000680016,84,WILLIAM STREET,"1 22,959",1,D
1000680028,15,GOLD STREET,"7 1,539",5,D
1000680036,100,WILLIAM STREET,"3 77,120",62,C
1000687501,80,JOHN STREET,"2 00,610",55,C
1000687502,90,WILLIAM STREET,"1 26,430",32,D
1000690001,215,PEARL STREET,"1 48,868",66,C
1000690006,211,PEARL STREET,"2 22,001",56,C
1000690018,2,GOLD STREET,"6 27,300",56,C
1000690030,4,PLATT STREET,"1 14,226","missing required benchmarkinginformation",F
1000690032,116,JOHN STREET,"3 38,463",53,D
1000697502,90,JOHN STREET,"3 72,364",18,D
1000700032,180,WATER STREET,"4 87,950",90,A
1000707501,125,MAIDEN LANE,"3 43,902",78,B
1000710001,156,FRONT STREET,"5 2,969",80,B
1000717501,175,WATER STREET,"5 80,000",92,A
1000720007,151,MAIDEN LANE,"1 39,891",63,C
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1000720012,161,FRONT STREET,"7 0,044","missing required benchmarkinginformation",F
1000720013,163,FRONT STREET,"5 8,500","missing required benchmarkinginformation",F
1000720027,85,SOUTH STREET,"5 2,005",99,A
1000720031,80,SOUTH STREET,"4 3,818","missing required benchmarkinginformation",F
1000747501,199,WATER STREET,"9 95,083",78,B
1000750001,127,JOHN STREET,"5 41,000",41,D
1000750030,111,JOHN STREET,"2 96,076",93,A
1000760001,64,FULTON STREET,"4 0,564",26,D
1000760006,56,FULTON STREET,"1 01,542",7,D
1000767501,15,CLIFF STREET,"1 58,477",70,B
1000767502,99,JOHN STREET,"4 72,059",24,D
1000770001,85,JOHN STREET,"1 60,000",41,D
1000770024,82,FULTON STREET,"1 59,000",7,D
1000777501,130,WILLIAM STREET,"4 48,214",59,C
1000780001,135,WILLIAM STREET,"7 6,988",98,A
1000780004,123,WILLIAM STREET,"4 93,039",89,A
1000780020,106,FULTON STREET,"7 4,863",19,D
1000787505,72,NASSAU STREET,"3 2,107","missing required benchmarkinginformation",F
1000787507,111,WILLIAM STREET,"9 7,798",21,D
1000787508,45,JOHN STREET,"8 1,199",77,B
1000787510,110,FULTON STREET,"2 5,997",20,D
1000787511,55,JOHN STREET,"1 15,376",31,D
1000790010,17,JOHN STREET,"1 11,423",94,A
1000797502,130,FULTON STREET,"7 1,246",59,C
1000797503,71,NASSAU STREET,"7 3,121",1,D
1000800001,195,BROADWAY,"1 ,094,861",74,B
1000800004,55,CHURCH STREET,"3 83,166",51,D
1000880001,217,BROADWAY,"1 33,198","missing required benchmarkinginformation",F
1000880002,14,VESEY STREET,"3 0,000",100,A
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1000880005,20,VESEY STREET,"8 0,298",73,B
1000880010,30,VESEY STREET,"7 1,959",93,A
1000880014,10,BARCLAY STREET,"5 31,000",10,D
1000880018,225,BROADWAY,"4 80,831",86,A
1000890001,99,NASSAU STREET,"1 00,000",86,A
1000890003,26,ANN STREET,"1 19,889",9,D
1000890012,222,BROADWAY,"7 56,138",88,A
1000900017,113,NASSAU STREET,"1 82,499",29,D
1000907503,5,BEEKMAN STREET,"3 13,980",1,D
1000907504,25,PARK ROW,"3 63,478",94,A
1000907505,33,PARK ROW,"9 4,941",34,D
1000910013,129,FULTON STREET,"3 8,320",36,D
1000917502,111,FULTON STREET,"2 21,213",22,D
1000920014,49,ANN STREET,"5 6,790","missing required benchmarkinginformation",F
1000920024,116,NASSAU STREET,"1 09,173",97,A
1000920032,19,BEEKMAN STREET,"2 5,039",93,A
1000927501,33,BEEKMAN STREET,"1 67,396",91,A
1000930001,81,FULTON STREET,"4 63,679",84,B
1000930034,57,BEEKMAN STREET,"7 9,079",100,A
1000940001,80,GOLD STREET,"2 ,163,399",74,B
1000940025,100,GOLD STREET,"6 55,775",79,B
1000957501,117,BEEKMAN STREET,"4 3,070",70,B
1000970010,156,BEEKMAN STREET,"2 7,698",95,A
1000970018,213,FRONT STREET,"4 0,000",5,D
1000977505,241,WATER STREET,"3 1,844",3,D
1001000001,52,BEEKMAN STREET,"3 01,941",24,D
1001000026,138,NASSAU STREET,"7 9,422",68,C
1001007501,150,NASSAU STREET,"1 94,294",3,D
1001007502,8,SPRUCE STREET,"1 ,040,589",30,D
1001010001,36,PARK ROW,"1 11,685",44,D
1001060017,320,PEARL STREET,"2 7,356",65,C
1001067502,324,PEARL STREET,"3 7,646",69,C
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1001067504,264,WATER STREET,"4 0,203",100,A
1001060009,1,PECK SLIP,"1 12,362",56,C
1001070028,254,FRONT STREET,"3 1,715",63,C
1001070038,29,PECK SLIP,"3 9,747",4,D
1001110100,20,MADISON STREET,"1 ,264,820",1,D
1001110160,86,CATHERINE STREET,"1 11,673",55,C
1001137501,375,PEARL STREET,"8 22,318",57,C
1001130100,411,PEARL STREET,"3 05,000",29,D
1001170001,185,PARK ROW,"5 15,425",71,B
1001190001,1,POLICE PLAZA,"1 ,000,518",35,D
1001237501,233,BROADWAY,"1 ,008,544",83,B
1001237502,30,PARK PLACE,"7 15,320",16,D
1001240004,11,PARK PLACE,"2 05,000",62,C
1001240008,19,PARK PLACE,"4 6,000",100,A
1001240011,25,PARK PLACE,"2 6,705",43,D
1001247502,250,BROADWAY,"5 96,389",71,B
1001250020,50,PARK PLACE,"9 32,587",80,B
1001260013,53,PARK PLACE,"1 38,600",64,C
1001260027,120,CHURCH STREET,"6 20,552",34,D
1001280002,101,BARCLAY STREET,"1 ,133,549",75,B
1001280026,125,BARCLAY STREET,"2 58,000",100,A
1001327501,275,GREENWICH STREET,"2 74,175",20,D
1001340025,258,BROADWAY,"8 8,320",18,D
1001347503,9,MURRAY STREET,"1 12,994",42,D
1001347505,25,MURRAY STREET,"1 44,330",6,D
1001350031,265,BROADWAY,"2 9,000","missing required benchmarkinginformation",F
1001357501,261,BROADWAY,"1 22,000",65,C
1001357510,30,WARREN STREET,"7 1,253",100,A
1001367502,38,WARREN STREET,"6 5,635",60,C
1001370005,80,WARREN STREET,"7 0,000",100,A
1001400005,121,READE STREET,"1 44,568",76,B
1001407501,165,CHAMBERS STREET,"1 07,190",3,D
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1001407502,311,GREENWICH STREET,"8 2,151",34,D
1001417504,166,DUANE STREET,"1 09,200",66,C
1001420025,310,GREENWICH STREET,"1 ,970,736",4,D
1001427501,99,WARREN STREET,"9 28,915",30,D
1001427502,200,CHAMBERS STREET,"4 03,019",36,D
1001427503,111,MURRAY STREET,"4 79,813",18,D
1001420001,292,GREENWICH STREET,"6 6,820",41,D
1001430001,47,HUDSON STREET,"7 7,630",82,B
1001430004,55,HUDSON STREET,"1 03,750",79,B
1001430021,335,GREENWICH STREET,"5 5,800",34,D
1001440001,16,HUDSON STREET,"7 8,306",38,D
1001440040,56,HUDSON STREET,"8 02,000",100,A
1001450012,125,CHAMBERS STREET,"5 3,039",1,D
1001457504,97,READE STREET,"3 6,546",56,C
1001460018,142,DUANE STREET,"2 9,000",89,A
1001467501,96,READE STREET,"4 4,152",44,D
1001480010,71,THOMAS STREET,"1 00,750",80,B
1001487501,40,WORTH STREET,"7 02,166",89,A
1001490012,97,CHAMBERS STREET,"4 3,338","missing required benchmarkinginformation",F
1001490033,277,BROADWAY,"9 3,615",85,A
1001497501,77,READE STREET,"8 7,136",50,D
1001497502,281,BROADWAY,"1 46,093",29,D
1001500031,299,BROADWAY,"2 53,033",88,A
1001500038,291,BROADWAY,"1 28,940",75,B
1001507505,66,READE STREET,"2 7,591","missing required benchmarkinginformation",F
1001510001,105,DUANE STREET,"4 34,418",31,D
1001510032,305,BROADWAY,"1 32,600",60,C
1001520025,325,BROADWAY,"5 0,000",59,C
1001527501,321,BROADWAY,"3 1,720",66,C
1001537501,49,CHAMBERS STREET,"2 37,307",30,D
1001530001,280,BROADWAY,"2 39,671",89,A
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1001540023,14,READE STREET,"7 1,732",74,B
1001550003,52,DUANE STREET,"1 03,158",79,B
1001550001,2,LAFAYETTE STREET,"3 54,169",76,B
1001580001,27,DUANE STREET,"7 0,590","missing required benchmarkinginformation",F
1001600021,474,PEARL STREET,"5 51,025",43,D
1001610001,196,PARK ROW,"3 06,862",36,D
1001620001,1,CHATHAM SQUARE,"5 1,837",71,B
1001627501,7,CHATHAM SQUARE,"4 7,122",69,C
1001630006,20,PELL STREET,"2 6,719","missing required benchmarkinginformation",F
1001640009,46,MULBERRY STREET,"4 7,418",1,D
1001640026,47,MOTT STREET,"2 5,480","missing required benchmarkinginformation",F
1001660027,80,CENTRE STREET,"6 40,000",75,B
1001680032,75,CENTRE STREET,"3 53,000",87,A
1001690010,111,CENTRE STREET,"6 40,000",84,B
1001700001,336,BROADWAY,"1 39,697",71,B
1001700020,111,WORTH STREET,"4 19,639",52,D
1001707501,108,LEONARD STREET,"4 14,363",94,A
1001717501,356,BROADWAY,"4 1,955",100,A
1001717503,101,LEONARD STREET,"1 41,014",100,A
1001710031,109,LEONARD STREET,"4 00,975",83,B
1001720001,364,BROADWAY,"9 3,378",5,D
1001720020,76,LAFAYETTE STREET,"3 17,464",57,C
1001720030,54,FRANKLIN STREET,"2 9,575",98,A
1001727501,374,BROADWAY,"1 37,500",37,D
1001727502,81,WHITE STREET,"2 8,500","missing required benchmarkinginformation",F
1001727504,50,FRANKLIN STREET,"9 4,147",10,D
1001737501,66,LEONARD STREET,"1 52,495",58,C
1001737502,65,WORTH STREET,"9 9,735",5,D
1001737504,93,WORTH STREET,"1 66,215",59,C
1001740037,349,BROADWAY,"4 2,000",77,B
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1001747506,91,LEONARD STREET,"2 09,024",91,A
1001750029,373,BROADWAY,"4 5,006",92,A
1001750033,365,BROADWAY,"6 3,600",71,B
1001757501,377,BROADWAY,"1 00,650",61,C
1001757504,90,FRANKLIN STREET,"1 07,222",54,D
1001757506,5,FRANKLIN PLACE,"1 31,817",58,C
1001767501,56,LEONARD STREET,"4 87,508",2,D
1001770024,111,FRANKLIN STREET,"3 3,464","missing required benchmarkinginformation",F
1001780025,13,WHITE STREET,"4 9,000",85,A
1001790017,84,HUDSON STREET,"5 1,748",75,B
1001790056,100,HUDSON STREET,"7 3,954",79,B
1001790066,139,FRANKLIN STREET,"5 6,384",59,C
1001797503,155,FRANKLIN STREET,"4 2,498",100,A
1001797506,14,LEONARD STREET,"8 1,650",14,D
1001807502,69,HUDSON STREET,"2 5,500",70,B
1001817503,6,HARRISON STREET,"5 3,685",32,D
1001817504,93,HUDSON STREET,"1 42,848",43,D
1001870016,377,GREENWICH STREET,"7 5,533",1,D
1001870021,56,NORTH MOORE STREET,"4 1,067","missing required benchmarkinginformation",F
1001877501,375,GREENWICH STREET,"6 3,450",44,D
1001877503,111,HUDSON STREET,"3 2,223",32,D
1001887502,387,GREENWICH STREET,"9 4,723",60,C
1001887503,53,NORTH MOORE STREET,"9 6,504",15,D
1001887505,48,BEACH STREET,"9 4,532",83,B
1001890025,34,NORTH MOORE STREET,"2 8,500","missing required benchmarkinginformation",F
1001890030,20,NORTH MOORE STREET,"6 0,600",89,A
1001897501,220,WEST BROADWAY,"6 3,996",85,A
1001907503,31,NORTH MOORE STREET,"1 08,300",80,B
1001907504,27,NORTH MOORE STREET,"1 74,625",63,C
1001907505,25,NORTH MOORE STREET,"1 30,094",88,A
1001907506,124,HUDSON STREET,"8 1,306",90,A
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1001910001,2,AVENUE OF THE AMERICAS,"1 33,895",32,D
1001920001,16,WALKER STREET,"1 ,092,665",100,A
1001937501,395,BROADWAY,"1 30,088",50,D
1001940042,60,WALKER STREET,"2 30,139",80,B
1001950002,384,BROADWAY,"4 3,300",51,D
1001950006,394,BROADWAY,"2 5,340",87,A
1001950007,396,BROADWAY,"6 1,219",83,B
1001950027,84,WHITE STREET,"4 6,900",72,B
1001960009,416,BROADWAY,"3 1,214","missing required benchmarkinginformation",F
1001960013,268,CANAL STREET,"2 6,000","missing required benchmarkinginformation",F
1001960021,254,CANAL STREET,"4 2,500",57,C
1001960022,92,WALKER STREET,"3 6,894",59,C
1001960029,78,WALKER STREET,"4 1,200","missing required benchmarkinginformation",F
1001960031,72,WALKER STREET,"3 0,000","missing required benchmarkinginformation",F
1001977502,139,CENTRE STREET,"1 27,879",45,D
1001970017,133,CENTRE STREET,"4 1,000",85,A
1001980030,224,CANAL STREET,"2 8,222",58,C
1001990034,106,BAYARD STREET,"3 0,582",39,D
1001997501,210,CANAL STREET,"4 3,326","missing required benchmarkinginformation",F
1002007501,198,CANAL STREET,"3 2,567",28,D
1002007502,202,CANAL STREET,"5 0,089","missing required benchmarkinginformation",F
1002010018,164,CANAL STREET,"3 9,224",68,C
1002017501,13,ELIZABETH STREET,"3 7,637",23,D
1002020023,50,BOWERY,"1 48,852","missing required benchmarkinginformation",F
1002027501,50,BAYARD STREET,"2 35,963",100,A
1002030021,80,BOWERY,"2 8,866","missing required benchmarkinginformation",F
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1002030031,64,BOWERY,"2 7,109",10,D
1002040001,94,MOTT STREET,"4 2,000",14,D
1002040024,41,ELIZABETH STREET,"4 5,700",42,D
1002047501,158,HESTER STREET,"1 04,865",23,D
1002047502,53,ELIZABETH STREET,"2 8,505",74,B
1002050008,114,MULBERRY STREET,"2 8,474",67,C
1002050030,185,CANAL STREET,"3 3,000",22,D
1002057501,103,MOTT STREET,"3 3,015",2,D
1002067501,123,BAXTER STREET,"6 2,567",43,D
1002070001,235,CANAL STREET,"4 3,942",73,B
1002070017,118,BAXTER STREET,"4 0,500",68,C
1002070020,114,BAXTER STREET,"3 3,000",67,C
1002087501,129,LAFAYETTE STREET,"7 5,528",38,D
1002090005,428,BROADWAY,"4 2,000",98,A
1002090019,138,LAFAYETTE STREET,"1 12,900",17,D
1002090028,261,CANAL STREET,"1 03,047",92,A
1002090034,273,CANAL STREET,"2 9,956",96,A
1002097501,42426,BROADWAY,"2 6,000",95,A
1002110018,285,WEST BROADWAY,"2 9,706",42,D
1002110029,370,CANAL STREET,"1 60,545",68,C
1002120018,52,VARICK STREET,"9 7,814",84,B
1002120045,2,YORK STREET,"6 5,283",38,D
1002127501,260,WEST BROADWAY,"1 36,714",52,D
1002127503,1,YORK STREET,"9 0,918",1,D
1002127504,50,VARICK STREET,"2 78,746",39,D
1002127505,11,BEACH STREET,"1 13,714",69,C
1002140001,53,BEACH STREET,"3 0,000",66,C
1002147502,145,HUDSON STREET,"1 36,472",17,D
1002147503,7,HUBERT STREET,"1 09,382",3,D
1002157502,161,HUDSON STREET,"5 8,015",65,C
1002157504,415,GREENWICH STREET,"1 77,414",55,C
1002160001,388,GREENWICH STREET,"2 ,354,289",80,B
1002177501,79,LAIGHT STREET,"1 00,984",89,A
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1002177503,250,WEST STREET,"3 13,991",89,A
1002177504,71,LAIGHT STREET,"1 14,622",26,D
1002180024,260,WEST STREET,"6 1,250",100,A
1002187501,92,LAIGHT STREET,"1 94,486",92,A
1002187504,415,WASHINGTON STREET,"5 5,649",44,D
1002197501,429,GREENWICH STREET,"1 03,279",94,A
1002197505,31,VESTRY STREET,"3 4,665",96,A
1002200031,174,HUDSON STREET,"5 1,750",86,A
1002207502,28,LAIGHT STREET,"1 01,560",17,D
1002210030,200,HUDSON STREET,"3 28,415",72,B
1002210035,12,VESTRY STREET,"4 5,136",73,B
1002227501,28,VESTRY STREET,"7 4,867",57,C
1002227502,195,HUDSON STREET,"8 8,496",13,D
1002227503,443,GREENWICH STREET,"2 61,896",33,D
1002230013,440,WASHINGTON STREET,"5 1,979",61,C
1002237502,70,VESTRY STREET,"2 25,029",12,D
1002250008,205,HUDSON STREET,"3 21,641",77,B
1002257502,16,DESBROSSES STREET,"2 7,798","missing required benchmarkinginformation",F
1002260001,431,CANAL STREET,"1 ,000,746",83,B
1002270028,306,WEST BROADWAY,"1 89,986",50,D
1002287502,311,WEST BROADWAY,"1 70,548",48,D
1002300009,329,CANAL STREET,"3 3,374",51,D
1002307503,20,GREENE STREET,"4 1,871",74,B
1002310014,433,BROADWAY,"4 6,217",72,B
1002310026,107,GRAND STREET,"6 6,532",51,D
1002310030,459,BROADWAY,"2 9,415",39,D
1002310032,455,BROADWAY,"2 7,336",62,C
1002310035,451,BROADWAY,"6 0,000",89,A
1002310036,449,BROADWAY,"2 9,000",90,A
1002320001,434,BROADWAY,"5 2,065",64,C
1002320005,444,BROADWAY,"3 4,000",42,D
1002320021,32,HOWARD STREET,"3 3,274",94,A
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
