,10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
42,1000167509,21,SOUTH END AVENUE,"2 37,270",28,D
43,1000167510,99,BATTERY PLACE,"3 05,973",39,D
44,1000167511,2,SOUTH END AVENUE,"1 89,273",30,D
45,1000167512,102,NORTH END AVENUE,"6 41,681",22,D
46,1000167513,25,BATTERY PLACE,"5 62,340",80,B
47,1000167514,30,WEST STREET,"4 22,304",35,D
48,1000167515,225,RECTOR PLACE,"2 87,819",94,A
49,1000167516,1,RIVER TERRACE,"5 31,665",41,D
50,1000167517,71,BATTERY PLACE,"5 08,458",1,D
51,1000167518,333,RECTOR PLACE,"2 62,021",66,C
52,1000167519,300,NORTH END AVENUE,"2 73,018",15,D
53,1000167520,200,NORTH END AVENUE,"4 25,407",4,D
54,1000167521,212,WARREN STREET,"3 35,784",86,A
55,1000167522,400,CHAMBERS STREET,"3 60,656",37,D
56,1000160215,345,CHAMBERS STREET,"4 50,000",42,D
57,1000160220,201,WARREN STREET,"1 05,177",60,C
58,1000160040,55,BATTERY PLACE,"1 34,082",23,D
59,1000170029,90,WASHINGTON STREET,"3 35,114",82,B
60,1000177501,50,WEST STREET,"4 27,177",51,D
61,1000187501,13,RECTOR STREET,"4 81,731",24,D
62,1000197501,42,TRINITY PLACE,"3 01,426",61,C
63,1000200001,29,BROADWAY,"3 16,150",83,B
64,1000200004,39,BROADWAY,"4 47,452",85,A
66,1000200009,45,BROADWAY,"3 68,315",86,A
67,1000200016,55,BROADWAY,"3 09,381",79,B
68,1000210001,61,BROADWAY,"6 50,740",90,A
69,1000210004,65,BROADWAY,"3 35,184",87,A
70,1000210006,71,BROADWAY,"3 03,086",84,B
71,1000220013,26,BROADWAY,"8 60,889",87,A
72,1000220024,50,BROADWAY,"3 00,676",83,B
73,1000220028,52,BROADWAY,"3 45,540",67,C
75,1000230050,20,BROAD STREET,"4 66,820",90,A
76,1000240001,60,BROAD STREET,"9 74,958",69,C
77,1000240029,30,BROAD STREET,"3 70,000",89,A
78,1000240036,50,BROAD STREET,"2 05,940",85,A
79,1000247501,40,BROAD STREET,"3 19,910",15,D
80,1000250001,55,BROAD STREET,"4 06,025",63,C
81,1000250010,41,BROAD STREET,"9 1,553",3,D
82,1000250027,40,EXCHANGE PLACE,"2 39,071",88,A
83,1000257501,15,WILLIAM STREET,"5 30,168",77,B
84,1000257502,25,BROAD STREET,"4 33,463",44,D
86,1000260021,45,WALL STREET,"4 93,187",67,C
87,1000267501,15,BROAD STREET,"9 44,252",64,C
88,1000270009,63,WALL STREET,"4 00,531",23,D
89,1000270017,67,WALL STREET,"3 05,271",23,D
90,1000277501,55,WALL STREET,"2 63,582",1,D
91,1000277502,20,EXCHANGE PLACE,"7 86,942",90,A
92,1000280001,3,HANOVER SQUARE,"2 39,121",22,D
93,1000280005,5,HANOVER SQUARE,"2 92,466",69,C
94,1000280012,76,BEAVER STREET,"9 5,325",81,B
95,1000287501,82,BEAVER STREET,"1 08,373",38,D
96,1000290001,85,BROAD STREET,"1 ,007,569",79,B
98,1000290036,1,WILLIAM STREET,"1 05,000",76,B
99,1000290070,75,BROAD STREET,"6 61,283",100,A
100,1000297503,21,SOUTH WILLIAM STREET,"2 5,483",1,D
101,1000290073,44,BEAVER STREET,"9 7,596",58,C
102,1000307501,7,HANOVER SQUARE,"8 06,170",80,B
103,1000310001,10,HANOVER SQUARE,"4 87,404",36,D
104,1000317501,75,WALL STREET,"6 83,289",35,D
105,1000327501,43,WATER STREET,"3 ,678,000",81,B
106,1000330001,77,WATER STREET,"5 41,568",70,B
107,1000330011,95,WALL STREET,"4 73,460",18,D
108,1000337501,101,WALL STREET,"1 06,598",41,D
109,1000350001,77,FRONT STREET,"9 73,587",76,B
110,1000370013,129,FRONT STREET,"3 4,613",18,D
111,1000370023,180,MAIDEN LANE,"1 ,079,361",71,B
112,1000380001,100,WALL STREET,"4 63,664",64,C
113,1000380017,88,PINE STREET,"6 64,990",76,B
114,1000390001,88,WALL STREET,"1 22,157",98,A
115,1000390038,126,WATER STREET,"4 2,568",76,B
116,1000397501,164,PEARL STREET,"1 17,641",5,D
117,1000400014,48,WALL STREET,"2 81,755",75,B
121,1000410024,62,WILLIAM STREET,"4 2,000",75,B
122,1000417501,50,PINE STREET,"4 5,352",3,D
124,1000417504,66,PINE STREET,"9 75,719",70,B
125,1000420001,100,MAIDEN LANE,"2 90,116",26,D
126,1000420022,10,LIBERTY STREET,"4 31,000",5,D
127,1000430001,44,WALL STREET,"2 89,049",80,B
129,1000430002,40,WALL STREET,"1 ,061,286",86,A
130,1000440001,28,LIBERTY STREET,"2 ,224,200",42,D
131,1000447501,18,PINE STREET,"5 83,639",77,B
132,1000460001,2,WALL STREET,"1 73,159",57,C
133,1000460003,100,BROADWAY,"3 64,390",84,B
134,1000460009,14,WALL STREET,"8 39,749",43,D
135,1000477501,120,BROADWAY,"1 ,736,513",77,B
136,1000490002,111,BROADWAY,"4 32,093",85,A
137,1000500001,115,BROADWAY,"3 96,607",81,B
138,1000510001,101,GREENWICH STREET,"4 00,294",84,B
140,1000510015,90,TRINITY PLACE,"8 3,362",6,D
141,1000520008,133,GREENWICH STREET,"1 30,054",24,D
142,1000520021,120,LIBERTY STREET,"5 7,945",74,B
143,1000520001,96,TRINITY PLACE,"1 02,591",4,D
144,1000530002,99,WASHINGTON STREET,"1 42,236",68,C
145,1000530033,110,GREENWICH STREET,"5 7,941",21,D
146,1000530038,100,GREENWICH STREET,"7 0,918",27,D
147,1000537501,120,GREENWICH STREET,"6 6,872",60,C
148,1000537502,123,WASHINGTON STREET,"3 96,477",57,C
150,1000550016,80,WEST STREET,"4 20,322",15,D
151,1000557501,40,RECTOR STREET,"4 49,355",69,C
153,1000560004,90,WEST STREET,"3 57,001",69,C
154,1000627501,1,LIBERTY PLAZA,"2 ,139,035",76,B
155,1000630003,22,CORTLANDT STREET,"6 47,875",72,B
156,1000630006,21,DEY STREET,"4 9,109",26,D
157,1000640001,51,NASSAU STREET,"4 2,012",42,D
158,1000640008,53,LIBERTY STREET,"1 67,448",54,D
159,1000640009,59,LIBERTY STREET,"3 0,681",36,D
161,1000640012,150,BROADWAY,"2 79,669",92,A
162,1000640015,160,BROADWAY,"1 50,000",87,A
163,1000647502,170,BROADWAY,"1 67,280",10,D
164,1000650006,21,MAIDEN LANE,"3 7,800",28,D
165,1000650007,15,MAIDEN LANE,"1 24,910",88,A
166,1000650010,9,MAIDEN LANE,"5 8,354",2,D
167,1000650017,176,BROADWAY,"1 68,176",53,D
169,1000650024,24,JOHN STREET,"5 0,616",22,D
170,1000657501,65,NASSAU STREET,"3 2,342",33,D
171,1000657502,180,BROADWAY,"1 49,223",85,A
172,1000670001,59,MAIDEN LANE,"1 ,073,000",64,C
173,1000670023,56,NASSAU STREET,"5 58,327",80,B
174,1000680007,83,MAIDEN LANE,"1 55,450",54,D
175,1000680011,75,MAIDEN LANE,"1 55,026",59,C
176,1000680016,84,WILLIAM STREET,"1 22,959",1,D
177,1000680028,15,GOLD STREET,"7 1,539",5,D
178,1000680036,100,WILLIAM STREET,"3 77,120",62,C
179,1000687501,80,JOHN STREET,"2 00,610",55,C
180,1000687502,90,WILLIAM STREET,"1 26,430",32,D
181,1000690001,215,PEARL STREET,"1 48,868",66,C
182,1000690006,211,PEARL STREET,"2 22,001",56,C
183,1000690018,2,GOLD STREET,"6 27,300",56,C
185,1000690032,116,JOHN STREET,"3 38,463",53,D
186,1000697502,90,JOHN STREET,"3 72,364",18,D
187,1000700032,180,WATER STREET,"4 87,950",90,A
188,1000707501,125,MAIDEN LANE,"3 43,902",78,B
189,1000710001,156,FRONT STREET,"5 2,969",80,B
190,1000717501,175,WATER STREET,"5 80,000",92,A
191,1000720007,151,MAIDEN LANE,"1 39,891",63,C
195,1000720027,85,SOUTH STREET,"5 2,005",99,A
197,1000747501,199,WATER STREET,"9 95,083",78,B
198,1000750001,127,JOHN STREET,"5 41,000",41,D
199,1000750030,111,JOHN STREET,"2 96,076",93,A
200,1000760001,64,FULTON STREET,"4 0,564",26,D
201,1000760006,56,FULTON STREET,"1 01,542",7,D
202,1000767501,15,CLIFF STREET,"1 58,477",70,B
203,1000767502,99,JOHN STREET,"4 72,059",24,D
204,1000770001,85,JOHN STREET,"1 60,000",41,D
205,1000770024,82,FULTON STREET,"1 59,000",7,D
206,1000777501,130,WILLIAM STREET,"4 48,214",59,C
207,1000780001,135,WILLIAM STREET,"7 6,988",98,A
208,1000780004,123,WILLIAM STREET,"4 93,039",89,A
209,1000780020,106,FULTON STREET,"7 4,863",19,D
211,1000787507,111,WILLIAM STREET,"9 7,798",21,D
212,1000787508,45,JOHN STREET,"8 1,199",77,B
213,1000787510,110,FULTON STREET,"2 5,997",20,D
214,1000787511,55,JOHN STREET,"1 15,376",31,D
215,1000790010,17,JOHN STREET,"1 11,423",94,A
216,1000797502,130,FULTON STREET,"7 1,246",59,C
217,1000797503,71,NASSAU STREET,"7 3,121",1,D
218,1000800001,195,BROADWAY,"1 ,094,861",74,B
219,1000800004,55,CHURCH STREET,"3 83,166",51,D
221,1000880002,14,VESEY STREET,"3 0,000",100,A
223,1000880005,20,VESEY STREET,"8 0,298",73,B
224,1000880010,30,VESEY STREET,"7 1,959",93,A
225,1000880014,10,BARCLAY STREET,"5 31,000",10,D
226,1000880018,225,BROADWAY,"4 80,831",86,A
227,1000890001,99,NASSAU STREET,"1 00,000",86,A
228,1000890003,26,ANN STREET,"1 19,889",9,D
229,1000890012,222,BROADWAY,"7 56,138",88,A
230,1000900017,113,NASSAU STREET,"1 82,499",29,D
231,1000907503,5,BEEKMAN STREET,"3 13,980",1,D
232,1000907504,25,PARK ROW,"3 63,478",94,A
233,1000907505,33,PARK ROW,"9 4,941",34,D
234,1000910013,129,FULTON STREET,"3 8,320",36,D
235,1000917502,111,FULTON STREET,"2 21,213",22,D
237,1000920024,116,NASSAU STREET,"1 09,173",97,A
238,1000920032,19,BEEKMAN STREET,"2 5,039",93,A
239,1000927501,33,BEEKMAN STREET,"1 67,396",91,A
240,1000930001,81,FULTON STREET,"4 63,679",84,B
241,1000930034,57,BEEKMAN STREET,"7 9,079",100,A
242,1000940001,80,GOLD STREET,"2 ,163,399",74,B
243,1000940025,100,GOLD STREET,"6 55,775",79,B
244,1000957501,117,BEEKMAN STREET,"4 3,070",70,B
245,1000970010,156,BEEKMAN STREET,"2 7,698",95,A
246,1000970018,213,FRONT STREET,"4 0,000",5,D
247,1000977505,241,WATER STREET,"3 1,844",3,D
248,1001000001,52,BEEKMAN STREET,"3 01,941",24,D
249,1001000026,138,NASSAU STREET,"7 9,422",68,C
250,1001007501,150,NASSAU STREET,"1 94,294",3,D
251,1001007502,8,SPRUCE STREET,"1 ,040,589",30,D
252,1001010001,36,PARK ROW,"1 11,685",44,D
253,1001060017,320,PEARL STREET,"2 7,356",65,C
254,1001067502,324,PEARL STREET,"3 7,646",69,C
256,1001067504,264,WATER STREET,"4 0,203",100,A
257,1001060009,1,PECK SLIP,"1 12,362",56,C
258,1001070028,254,FRONT STREET,"3 1,715",63,C
259,1001070038,29,PECK SLIP,"3 9,747",4,D
260,1001110100,20,MADISON STREET,"1 ,264,820",1,D
261,1001110160,86,CATHERINE STREET,"1 11,673",55,C
262,1001137501,375,PEARL STREET,"8 22,318",57,C
263,1001130100,411,PEARL STREET,"3 05,000",29,D
264,1001170001,185,PARK ROW,"5 15,425",71,B
265,1001190001,1,POLICE PLAZA,"1 ,000,518",35,D
266,1001237501,233,BROADWAY,"1 ,008,544",83,B
267,1001237502,30,PARK PLACE,"7 15,320",16,D
268,1001240004,11,PARK PLACE,"2 05,000",62,C
269,1001240008,19,PARK PLACE,"4 6,000",100,A
270,1001240011,25,PARK PLACE,"2 6,705",43,D
271,1001247502,250,BROADWAY,"5 96,389",71,B
272,1001250020,50,PARK PLACE,"9 32,587",80,B
273,1001260013,53,PARK PLACE,"1 38,600",64,C
274,1001260027,120,CHURCH STREET,"6 20,552",34,D
275,1001280002,101,BARCLAY STREET,"1 ,133,549",75,B
276,1001280026,125,BARCLAY STREET,"2 58,000",100,A
277,1001327501,275,GREENWICH STREET,"2 74,175",20,D
278,1001340025,258,BROADWAY,"8 8,320",18,D
279,1001347503,9,MURRAY STREET,"1 12,994",42,D
280,1001347505,25,MURRAY STREET,"1 44,330",6,D
282,1001357501,261,BROADWAY,"1 22,000",65,C
283,1001357510,30,WARREN STREET,"7 1,253",100,A
284,1001367502,38,WARREN STREET,"6 5,635",60,C
285,1001370005,80,WARREN STREET,"7 0,000",100,A
286,1001400005,121,READE STREET,"1 44,568",76,B
287,1001407501,165,CHAMBERS STREET,"1 07,190",3,D
289,1001407502,311,GREENWICH STREET,"8 2,151",34,D
290,1001417504,166,DUANE STREET,"1 09,200",66,C
291,1001420025,310,GREENWICH STREET,"1 ,970,736",4,D
292,1001427501,99,WARREN STREET,"9 28,915",30,D
293,1001427502,200,CHAMBERS STREET,"4 03,019",36,D
294,1001427503,111,MURRAY STREET,"4 79,813",18,D
295,1001420001,292,GREENWICH STREET,"6 6,820",41,D
296,1001430001,47,HUDSON STREET,"7 7,630",82,B
297,1001430004,55,HUDSON STREET,"1 03,750",79,B
298,1001430021,335,GREENWICH STREET,"5 5,800",34,D
299,1001440001,16,HUDSON STREET,"7 8,306",38,D
300,1001440040,56,HUDSON STREET,"8 02,000",100,A
301,1001450012,125,CHAMBERS STREET,"5 3,039",1,D
302,1001457504,97,READE STREET,"3 6,546",56,C
303,1001460018,142,DUANE STREET,"2 9,000",89,A
304,1001467501,96,READE STREET,"4 4,152",44,D
305,1001480010,71,THOMAS STREET,"1 00,750",80,B
306,1001487501,40,WORTH STREET,"7 02,166",89,A
308,1001490033,277,BROADWAY,"9 3,615",85,A
309,1001497501,77,READE STREET,"8 7,136",50,D
310,1001497502,281,BROADWAY,"1 46,093",29,D
311,1001500031,299,BROADWAY,"2 53,033",88,A
312,1001500038,291,BROADWAY,"1 28,940",75,B
314,1001510001,105,DUANE STREET,"4 34,418",31,D
315,1001510032,305,BROADWAY,"1 32,600",60,C
316,1001520025,325,BROADWAY,"5 0,000",59,C
317,1001527501,321,BROADWAY,"3 1,720",66,C
318,1001537501,49,CHAMBERS STREET,"2 37,307",30,D
319,1001530001,280,BROADWAY,"2 39,671",89,A
321,1001540023,14,READE STREET,"7 1,732",74,B
322,1001550003,52,DUANE STREET,"1 03,158",79,B
323,1001550001,2,LAFAYETTE STREET,"3 54,169",76,B
325,1001600021,474,PEARL STREET,"5 51,025",43,D
326,1001610001,196,PARK ROW,"3 06,862",36,D
327,1001620001,1,CHATHAM SQUARE,"5 1,837",71,B
328,1001627501,7,CHATHAM SQUARE,"4 7,122",69,C
330,1001640009,46,MULBERRY STREET,"4 7,418",1,D
332,1001660027,80,CENTRE STREET,"6 40,000",75,B
333,1001680032,75,CENTRE STREET,"3 53,000",87,A
334,1001690010,111,CENTRE STREET,"6 40,000",84,B
335,1001700001,336,BROADWAY,"1 39,697",71,B
336,1001700020,111,WORTH STREET,"4 19,639",52,D
337,1001707501,108,LEONARD STREET,"4 14,363",94,A
338,1001717501,356,BROADWAY,"4 1,955",100,A
339,1001717503,101,LEONARD STREET,"1 41,014",100,A
340,1001710031,109,LEONARD STREET,"4 00,975",83,B
341,1001720001,364,BROADWAY,"9 3,378",5,D
342,1001720020,76,LAFAYETTE STREET,"3 17,464",57,C
343,1001720030,54,FRANKLIN STREET,"2 9,575",98,A
344,1001727501,374,BROADWAY,"1 37,500",37,D
346,1001727504,50,FRANKLIN STREET,"9 4,147",10,D
347,1001737501,66,LEONARD STREET,"1 52,495",58,C
348,1001737502,65,WORTH STREET,"9 9,735",5,D
349,1001737504,93,WORTH STREET,"1 66,215",59,C
350,1001740037,349,BROADWAY,"4 2,000",77,B
352,1001747506,91,LEONARD STREET,"2 09,024",91,A
353,1001750029,373,BROADWAY,"4 5,006",92,A
354,1001750033,365,BROADWAY,"6 3,600",71,B
355,1001757501,377,BROADWAY,"1 00,650",61,C
356,1001757504,90,FRANKLIN STREET,"1 07,222",54,D
357,1001757506,5,FRANKLIN PLACE,"1 31,817",58,C
358,1001767501,56,LEONARD STREET,"4 87,508",2,D
360,1001780025,13,WHITE STREET,"4 9,000",85,A
361,1001790017,84,HUDSON STREET,"5 1,748",75,B
362,1001790056,100,HUDSON STREET,"7 3,954",79,B
363,1001790066,139,FRANKLIN STREET,"5 6,384",59,C
364,1001797503,155,FRANKLIN STREET,"4 2,498",100,A
365,1001797506,14,LEONARD STREET,"8 1,650",14,D
366,1001807502,69,HUDSON STREET,"2 5,500",70,B
367,1001817503,6,HARRISON STREET,"5 3,685",32,D
368,1001817504,93,HUDSON STREET,"1 42,848",43,D
369,1001870016,377,GREENWICH STREET,"7 5,533",1,D
371,1001877501,375,GREENWICH STREET,"6 3,450",44,D
372,1001877503,111,HUDSON STREET,"3 2,223",32,D
373,1001887502,387,GREENWICH STREET,"9 4,723",60,C
374,1001887503,53,NORTH MOORE STREET,"9 6,504",15,D
375,1001887505,48,BEACH STREET,"9 4,532",83,B
377,1001890030,20,NORTH MOORE STREET,"6 0,600",89,A
378,1001897501,220,WEST BROADWAY,"6 3,996",85,A
379,1001907503,31,NORTH MOORE STREET,"1 08,300",80,B
380,1001907504,27,NORTH MOORE STREET,"1 74,625",63,C
381,1001907505,25,NORTH MOORE STREET,"1 30,094",88,A
382,1001907506,124,HUDSON STREET,"8 1,306",90,A
384,1001910001,2,AVENUE OF THE AMERICAS,"1 33,895",32,D
385,1001920001,16,WALKER STREET,"1 ,092,665",100,A
386,1001937501,395,BROADWAY,"1 30,088",50,D
387,1001940042,60,WALKER STREET,"2 30,139",80,B
388,1001950002,384,BROADWAY,"4 3,300",51,D
389,1001950006,394,BROADWAY,"2 5,340",87,A
390,1001950007,396,BROADWAY,"6 1,219",83,B
391,1001950027,84,WHITE STREET,"4 6,900",72,B
394,1001960021,254,CANAL STREET,"4 2,500",57,C
395,1001960022,92,WALKER STREET,"3 6,894",59,C
398,1001977502,139,CENTRE STREET,"1 27,879",45,D
399,1001970017,133,CENTRE STREET,"4 1,000",85,A
400,1001980030,224,CANAL STREET,"2 8,222",58,C
401,1001990034,106,BAYARD STREET,"3 0,582",39,D
403,1002007501,198,CANAL STREET,"3 2,567",28,D
405,1002010018,164,CANAL STREET,"3 9,224",68,C
406,1002017501,13,ELIZABETH STREET,"3 7,637",23,D
408,1002027501,50,BAYARD STREET,"2 35,963",100,A
411,1002030031,64,BOWERY,"2 7,109",10,D
412,1002040001,94,MOTT STREET,"4 2,000",14,D
413,1002040024,41,ELIZABETH STREET,"4 5,700",42,D
414,1002047501,158,HESTER STREET,"1 04,865",23,D
415,1002047502,53,ELIZABETH STREET,"2 8,505",74,B
416,1002050008,114,MULBERRY STREET,"2 8,474",67,C
417,1002050030,185,CANAL STREET,"3 3,000",22,D
418,1002057501,103,MOTT STREET,"3 3,015",2,D
419,1002067501,123,BAXTER STREET,"6 2,567",43,D
420,1002070001,235,CANAL STREET,"4 3,942",73,B
421,1002070017,118,BAXTER STREET,"4 0,500",68,C
422,1002070020,114,BAXTER STREET,"3 3,000",67,C
423,1002087501,129,LAFAYETTE STREET,"7 5,528",38,D
424,1002090005,428,BROADWAY,"4 2,000",98,A
425,1002090019,138,LAFAYETTE STREET,"1 12,900",17,D
426,1002090028,261,CANAL STREET,"1 03,047",92,A
427,1002090034,273,CANAL STREET,"2 9,956",96,A
428,1002097501,42426,BROADWAY,"2 6,000",95,A
429,1002110018,285,WEST BROADWAY,"2 9,706",42,D
430,1002110029,370,CANAL STREET,"1 60,545",68,C
431,1002120018,52,VARICK STREET,"9 7,814",84,B
432,1002120045,2,YORK STREET,"6 5,283",38,D
433,1002127501,260,WEST BROADWAY,"1 36,714",52,D
434,1002127503,1,YORK STREET,"9 0,918",1,D
435,1002127504,50,VARICK STREET,"2 78,746",39,D
436,1002127505,11,BEACH STREET,"1 13,714",69,C
437,1002140001,53,BEACH STREET,"3 0,000",66,C
438,1002147502,145,HUDSON STREET,"1 36,472",17,D
439,1002147503,7,HUBERT STREET,"1 09,382",3,D
440,1002157502,161,HUDSON STREET,"5 8,015",65,C
441,1002157504,415,GREENWICH STREET,"1 77,414",55,C
442,1002160001,388,GREENWICH STREET,"2 ,354,289",80,B
443,1002177501,79,LAIGHT STREET,"1 00,984",89,A
445,1002177503,250,WEST STREET,"3 13,991",89,A
446,1002177504,71,LAIGHT STREET,"1 14,622",26,D
447,1002180024,260,WEST STREET,"6 1,250",100,A
448,1002187501,92,LAIGHT STREET,"1 94,486",92,A
449,1002187504,415,WASHINGTON STREET,"5 5,649",44,D
450,1002197501,429,GREENWICH STREET,"1 03,279",94,A
451,1002197505,31,VESTRY STREET,"3 4,665",96,A
452,1002200031,174,HUDSON STREET,"5 1,750",86,A
453,1002207502,28,LAIGHT STREET,"1 01,560",17,D
454,1002210030,200,HUDSON STREET,"3 28,415",72,B
455,1002210035,12,VESTRY STREET,"4 5,136",73,B
456,1002227501,28,VESTRY STREET,"7 4,867",57,C
457,1002227502,195,HUDSON STREET,"8 8,496",13,D
458,1002227503,443,GREENWICH STREET,"2 61,896",33,D
459,1002230013,440,WASHINGTON STREET,"5 1,979",61,C
460,1002237502,70,VESTRY STREET,"2 25,029",12,D
461,1002250008,205,HUDSON STREET,"3 21,641",77,B
463,1002260001,431,CANAL STREET,"1 ,000,746",83,B
464,1002270028,306,WEST BROADWAY,"1 89,986",50,D
465,1002287502,311,WEST BROADWAY,"1 70,548",48,D
466,1002300009,329,CANAL STREET,"3 3,374",51,D
467,1002307503,20,GREENE STREET,"4 1,871",74,B
468,1002310014,433,BROADWAY,"4 6,217",72,B
469,1002310026,107,GRAND STREET,"6 6,532",51,D
470,1002310030,459,BROADWAY,"2 9,415",39,D
471,1002310032,455,BROADWAY,"2 7,336",62,C
472,1002310035,451,BROADWAY,"6 0,000",89,A
473,1002310036,449,BROADWAY,"2 9,000",90,A
474,1002320001,434,BROADWAY,"5 2,065",64,C
475,1002320005,444,BROADWAY,"3 4,000",42,D
476,1002320021,32,HOWARD STREET,"3 3,274",94,A
478,1002330002,9,CROSBY STREET,"1 21,165",25,D
479,1002330004,13,CROSBY STREET,"3 8,000",46,D
481,1002330026,148,LAFAYETTE STREET,"1 29,135",84,B
482,1002330030,22,HOWARD STREET,"5 3,200",63,C
483,1002340017,211,CENTRE STREET,"4 6,700",85,A
484,1002350001,202,CENTRE STREET,"3 9,000",99,A
485,1002350013,165,GRAND STREET,"4 4,034",96,A
486,1002367501,173,GRAND STREET,"4 0,413",34,D
488,1002367504,185,GRAND STREET,"3 5,086",80,B
489,1002360038,137,BAXTER STREET,"7 2,650",47,D
490,1002360006,145,BAXTER STREET,"4 4,350",47,D
491,1002370014,197,GRAND STREET,"3 9,500",42,D
492,1002370017,203,GRAND STREET,"2 5,500",66,C
493,1002377501,132,MULBERRY STREET,"6 0,508",18,D
494,1002380003,122,MOTT STREET,"3 4,500",8,D
495,1002387501,128,MOTT STREET,"9 2,559",78,B
496,1002390012,92,ELIZABETH STREET,"3 9,100",87,A
497,1002390020,116,BOWERY,"4 8,911",91,A
499,1002397501,80,ELIZABETH STREET,"1 13,956",1,D
500,1002430056,645,WATER STREET,"2 51,500",36,D
501,1002440019,605,WATER STREET,"1 24,600",36,D
503,1002450001,286,SOUTH STREET,"2 77,260",2,D
504,1002450007,292,SOUTH STREET,"9 1,460",91,A
505,1002460001,275,SOUTH STREET,"2 62,875",89,A
506,1002480015,82,RUTGERS SLIP,"2 60,000",63,C
507,1002480070,80,RUTGERS SLIP,"8 3,904",44,D
509,1002530001,100,CHERRY STREET,"1 ,396,625",55,C
510,1002550001,45,PIKE STREET,"6 44,053",41,D
511,1002560014,272,CHERRY STREET,"1 01,786",6,D
512,1002560001,300,CHERRY STREET,"5 27,043",6,D
513,1002580001,318,CHERRY STREET,"4 31,685",6,D
514,1002590001,604,WATER STREET,"1 26,150",36,D
515,1002590071,35,MONTGOMERY STREET,"2 87,175",36,D
516,1002590044,198,MONROE STREET,"5 3,815",90,A
517,1002600075,668,WATER STREET,"3 82,500",1,D
518,1002600001,636,WATER STREET,"5 13,000",1,D
519,1002630001,14,JACKSON STREET,"1 58,000",1,D
520,1002670001,305,MADISON STREET,"1 36,070",36,D
521,1002670010,280,HENRY STREET,"2 5,127",36,D
522,1002670037,371,MADISON STREET,"1 01,579",89,A
523,1002690041,259,MADISON STREET,"1 84,328",83,B
524,1002710057,152,HENRY STREET,"3 7,565",51,D
525,1002730001,157,MADISON STREET,"8 6,350",72,B
526,1002747501,48,MARKET STREET,"3 2,802",25,D
527,1002747502,148,MADISON STREET,"7 4,881",7,D
528,1002740006,57,MONROE STREET,"3 3,831",78,B
529,1002760059,53,CATHERINE STREET,"3 8,000",100,A
530,1002767503,31,MONROE STREET,"5 7,151",93,A
531,1002777501,25,MARKET STREET,"6 1,451",1,D
532,1002777502,45,HENRY STREET,"3 4,098",31,D
533,1002797502,11,EAST BROADWAY,"5 8,293",57,C
534,1002790040,2,HENRY STREET,"6 6,860",60,C
535,1002800052,17,CATHERINE STREET,"2 5,701",20,D
536,1002807501,17,EAST BROADWAY,"3 0,254",69,C
537,1002810001,2,EAST BROADWAY,"3 3,234",77,B
